label,predict
| menu | keuzes,| menu
| bediening | locatie,| bediening | eten | locatie
| combinaties | eetlust,| hapje | Eten
| pijlinktvis | beslag,| gefrituurde pijlinktvis
| Wildvang gamba,| Wildvang gamba | tom.saus
| zoutkorst | zoutkorst | zoutkorst,| dorade in zoutkorst
| bistro | sfeer,| bistro
| Royal all inclusief menu,| Royal all inclusief menu
| zaak | bediening,| zaak | bediening
| Bediening | trendy retro-interieur,| retro-interieur | Bediening
| Teaser | maltesers,| Teaser
| smaakbommen | combinaties,| gerecht
| restaurant | sfeer in restaurant,| sfeer | Interieur
| bediening,| bediening
| porties | ipv warm (wat nog aanvaardbaar kan zijn) porties,| porties | eten
| portionen | portie | helft van de portie,| portie | eten
| soepkommetje,| rijst
| gerechten | bier,| bier | Eten
| ontbijt | ontbijt,| ontbijt | ontbijt
| personeel,| personeel
| sfeer,| sfeer
| personeel,| personeel
| sfeer | de persoonlijke bediening en de persoonlijke sfeer,| sfeer | bediening | thaische keuken
| gerechten in de mooie tuin en gerechten,| gerechten | tuin
| zeevruchtensalade,| zeevruchtensalade
| kader,| kader
| interior | demping,| interieur
| soepje met groentenblokjes in een wazig vocht,| soepje met groenten
| indier,| indier
| bediening | uitbater,| uitbater | bediening
| bediening,| bediening
| frituur | prijzen,| frieten | frituur
| service | restaurant,| restaurant | service
| Marmiet,| Marmiet
| restaurant | gerechten gebracht aan democratie prijzen,| gerechten | gerechten | restaurant
| tapas vooraf,| tapas
| ontvangst door gastvrouw,| gastvrouw
| restaurant | restaurant,| restaurant
| kaart wisselt regelmatig en,| kaart
| restaurant,| restaurant
| gerechten eraan de gastvrouw,| gastvrouw | gerechten | gerechten
| Sfeer | sfeer | food | niveau,| Sfeer | eten
| bediening | bediening,| bediening | fondue
| Scampi in de bloemige Saus,| Scampi
| Steak bearnaise,| Steak bearnaise
| Frietjes,| Frietjes
| vrienden,| stoofpotjes van kabeljauw
| Personeel | restaurant,| Personeel
| ligging | terras,| terras | ligging
| bediening,| keuken | bediening
| zaak vol zit | bediening en fouten,| bediening
| salade nicoise | salade nicoise,| salade nicoise
| zaak,| zaak
| ober | platte oesters,| platte oesters
| garnaalkroketjes | steaks | garnaalkroketjes | steaks | steaks | garnaalkroketjes | steaks | garnaalkroketjes | steaks | steaks | garnaalkroketjes | steaks | steaks | garnaalkroketjes | steaks | steaks | garnaalkroketjes | steaks | garnaalkroketjes | steaks | garnaalkroketjes | steaks,| vlees | restaurant | garnaalkroketjes
| bediening | restaurant,| bediening
| aparte inkom | blik inkom | aparte inkom | persoonlijk onthaal | blik inkom | antieke interieur belicht of juweel | blik inkom | aparte inkom | persoonlijk onthaal | blik inkom | antieke interior,| kwaliteitskreeften | bediening | onthaal | inkom
