text	label	prediction
Après le palais du facteur nous voici à la halte qui est un restaurant correct.	neutral restaurant                                                                                                                             	 positive halte        
Le patron nous accueille très chaleureusement et c'est sa femme qui cuisine.	positive patron                                                                                                                             	 positive patron | positive femme      
Le prix est un peu élevé pour un repas qui n'a pas nécessité toute une implication du début à la fin.	negative repas                                                                                                                            	 negative repas        
Des pizzas locales que vous ne mangerez pas ailleurs, accommodant les spécialités du coin.	positive pizzas                                                                                                                            	 positive pizzas locales | positive pizzas locales
Très bon accueil	positive accueil                                                                                                                            	 positive accueil                 
Le cadre et le personnel sont agréables.	positive cadre | positive personnel                                                                                                                         	 positive cadre | positive personnel              
Par contre l'attente est interminable pour une salade dont la sauce est industrielle, et des ravioles dans un bain de crème pas cuite.	negative attente | negative ravioles | negative sauce | negative crème                                                                                                            	 negative salade | negative sauce | negative ravioles dans un bain de crème
Au centre de ce tout petit village, on ne s'attendait pas à manger aussi bien sur une terrasse agréable.	positive terrasse                                                                                                                             	 positive terrasse                  
Service plaisant.	positive Service                                                                                                                             	 positive Service             
Salade fanée, vin moyen, gratin de raviolis mangeable.	negative Salade | neutral vin | neutral gratin de raviolis                                                                                                                 	 positive Salade fanée | positive vin | positive gratin de raviolis
Bonnes glaces.	positive glaces                                                                                                                            	 positive glaces            
Terrasse négligée.	negative Terrasse                                                                                                                            	 negative Terrasse            
C'est dommage, l'emplacement est idéal et le service plutôt sympa mais ça ne fait pas tout!	positive emplacement | positive service                                                                                                                         	 positive emplacement | positive service | negative emplacement 
Si vous êtes en vacances, si vous avez –beaucoup- de temps à perdre tout en regardant les serveuses et serveurs (au demeurant charmants) virevolter comme des mouches ne sachant quoi faire ni pour qui faire (1 heure pour 3 côtelettes froides, et, le lendemain, 3⁄4 d’heures pour 3 glaces jamais arrivées...!), longue attente accompagnée par une musique horripilante (boum tchic, boum tchic, sans	negative serveuses | negative musique | negative attente | negative côtelettes | negative serveurs                                                                                                      	 positive serveuses | positive serveurs | negative musique
On est rassuré « la patronne, interpellée, va faire des enquêtes » (sic), bref c’est PARFAIT.	negative patronne                                                                                                                           	 positive patronne         
Dommage le cadre est sympa.	positive cadre                                                                                                                            	 positive cadre         
Un début de soirée qui commence dans un bon resto, comme les 1er fois une Virgin Colada à 6.50e pour se mettre en appétit et un accueil toujours très chaleureux du patron et de sa femme.	positive resto | positive accueil | positive patron | positive femme                                                                                                                   	 positive resto | positive Virgin Colada | positive accueil           
Le pavé de Saumon est extra mais pour changer je teste la poêlée de noix de st Jacques à 22euros avec en gratin du jour (pomme de terre et patate douce ) le mariage sympathique et frites.	positive pavé de Saumon | positive gratin du jour | positive poêlée de noix de st Jacques                                                                                                       	 positive pavé de Saumon | positive poêlée de noix de st Jacques | positive frites
Que du bonheur dans l'assiette, la cuisson de mes noix sont parfaites, légèrement nacrées à l'intérieur, moelleuses à souhait... la,sauce crème légère.	positive assiette | positive noix | positive sauce crème légère                                                                                                                	 positive assiette | positive cuisson de mes noix | positive sauce crème légère   
Je pars très satisfaite de mon plat très bon.	positive plat                                                                                                                             	 positive plat                    
Une adresse à mettre dans mon top five.	positive adresse                                                                                                                             	 positive adresse     
Bonne cuisine créole.	positive cuisine créole                                                                                                                           	 positive cuisine créole   
Le service est rapide et assez froid, mais les assiettes sont bien garnies.	neutral service | positive assiettes                                                                                                                         	 positive service | negative assiettes
Le restaurant se trouvant au-dessus du marché, l'ambiance est garantie.	positive ambiance | positive restaurant                                                                                                                         	 positive ambiance | positive restaurant 
L'apéro est étonnant : on vous sert une bouteille de 1 litre de rhum et une bouteille de sucre canne liquide.	neutral apéro                                                                                                                            	 negative apéro | negative rhum | negative sucre canne liquide
Un service impeccable et des cocktails ahurissant.	positive service | positive cocktails                                                                                                                         	 positive service | positive cocktails             
Mais le summum fut l'arrivée des entrées.	positive entrées                                                                                                                           	 positive entrées               
Le foi gras est le meilleur de l'île.	positive foi gras                                                                                                                            	 positive foi gras                
Le carpaccio de st jacques sauvages est divin.	positive carpaccio de st jacques sauvages                                                                                                                    	 positive carpaccio de st jacques sauvages       
Puis est arrivée la pluma de pata negra avec son incroyable purée a l'huile de truffe.	positive purée a l'huile de truffe                                                                                                                  	 positive purée a l'huile de truffe     
Merci rodolphe pour ce repas incroyable.	positive repas                                                                                                                             	 positive rodolphe              
"La carte est -au premier abord- plutôt attrayante, mais c'est sans compter sur l'indisponibilité de nombreux aliments (lambi, marlin et thon ce soir là), et les prix hallucinants d'autres (notamment les ""plateaux"" de fruits de mer, qui ne sont en fait que de petites assiettes)."	"positive carte | negative aliments | negative ""plateaux"" de fruits de mer | negative ""plateaux"" de fruits de mer | negative aliments                                                                                           "	 negative carte | negative lambi | negative marlin | negative thon
Mon choix s'est donc porté sur des pâtes aux fruits de mer (2 moules surcuites, 3 saint jacques décongelées, et beaucoup trop d'ail).	negative moules | negative saint jacques | negative pâtes aux fruits de mer                                                                                                          	 negative pâtes aux fruits de mer (2 moules surcuites | negative saint jacques décongelées | negative ail)
Salle très bruyante (on n'arrivait plus à s'entendre), mais service efficace.	positive service | negative Salle                                                                                                                        	 negative Salle | positive service                        
Le cadre est somptueux, le repas est très correct..	positive cadre | positive repas                                                                                                                         	 positive cadre | positive repas                         
De bonnes lasagnes et un café gourmand agréable..	positive lasagnes | positive café gourmand                                                                                                                      	 positive lasagnes | positive café gourmand                      
Mais si le service très décontracté est sympathique..	positive service                                                                                                                             	 positive service                  
Escalope milanaise panée sur un côté seulement et plein d'huile.	negative Escalope milanaise                                                                                                                         	 negative Escalope milanaise panée sur le côté seulement et plein d'huile
Entrecôte avec plus de nerfs que de viande et j'en passe.	negative Entrecôte                                                                                                                          	 negative Entrecôte avec plus de nerfs que de viande    
un resto qui ravira les papilles avec des produits très bien cuisinés.	positive produits                                                                                                                            	 positive resto | positive produits              
mais une catastrophe côté service : on a été oublié dans un coin, par contre, les tables de droite et de gauche ont eu droit à tous les égards (faut être américains ou famille nombreuse pour être intéressant faut croire!)	negative service                                                                                                                            	 negative service | positive tables de droite et gauche   
on n'a pas eu de seau à glace pour le vin blanc, pas de pain durant le repas, on a dû se lever pour interpeler les serveuses qui ne nous jetaient même pas un regard, on a énormément attendu entre les plats qu'on veuille bien daigner nous débarasser les assiettes vides... bref!	negative serveuses                                                                                                                           	 negative seau à glace pour le vin blanc | negative serveuses
L'endroit est très beau, l'assiette est divine, les vins bouleversants, ajoutez à cela l'enthousiasme contagieux du patron : que demander de plus?	positive endroit | positive assiette | positive vins                                                                                                                     	 positive endroit | positive assiette | positive vins | positive patron    
On est si bien à l'Art dit Vin, on y passe de bons moments :)	positive Art dit Vin                                                                                                                           	 positive Art dit Vin             
